Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-02-2011 00:00;4440;4292
01-02-2011 01:00;4718;4567
01-02-2011 02:00;4818;4686
01-02-2011 03:00;4845;4697
01-02-2011 04:00;4879;4714
01-02-2011 05:00;4588;4448
01-02-2011 06:00;4509;4342
01-02-2011 07:00;4479;4323
01-02-2011 08:00;4497;4339
01-02-2011 09:00;4368;4211
01-02-2011 10:00;4340;4191
01-02-2011 11:00;4572;4431
01-02-2011 12:00;4926;4768
01-02-2011 13:00;4852;4691
01-02-2011 14:00;4816;4643
01-02-2011 15:00;4712;4548
01-02-2011 16:00;4541;4375
01-02-2011 17:00;4279;4106
01-02-2011 18:00;4168;3998
01-02-2011 19:00;4054;3884
01-02-2011 20:00;3999;3840
01-02-2011 21:00;3920;3762
01-02-2011 22:00;4029;3873
01-02-2011 23:00;4073;3916
02-02-2011 00:00;4372;4213
